user_id,payment_date,amount_paid_usd,paid_on_time
2,2023-07-18,20,True
2,2023-08-18,20,True
2,2023-09-18,20,True
2,2023-10-18,20,True
4,2024-11-18,50,True
4,2024-12-18,0,False
4,2025-01-18,50,True
4,2025-02-18,50,True
4,2025-03-18,50,True
4,2025-04-18,50,True
5,2023-11-22,20,True
5,2023-12-22,20,True
5,2024-01-22,20,True
5,2024-02-22,20,True
5,2024-03-22,20,True
5,2024-04-22,20,True
5,2024-05-22,20,True
5,2024-06-22,20,True
5,2024-07-22,20,True
7,2023-10-13,20,True
7,2023-11-13,20,True
7,2023-12-13,20,True
7,2024-01-13,20,True
7,2024-02-13,0,False
7,2024-03-13,20,True
7,2024-04-13,20,True
7,2024-05-13,20,True
8,2023-08-09,20,True
8,2023-09-09,20,True
8,2023-10-09,20,True
8,2023-11-09,20,True
8,2023-12-09,20,True
10,2023-07-11,100,True
10,2023-08-11,100,True
10,2023-09-11,100,True
10,2023-10-11,100,True
11,2024-09-29,100,True
11,2024-10-29,100,True
11,2024-11-29,100,True
11,2024-12-29,100,True
11,2025-01-29,100,True
11,2025-02-28,100,True
11,2025-03-29,100,True
12,2024-11-18,20,True
12,2024-12-18,20,True
12,2025-01-18,20,True
12,2025-02-18,20,True
12,2025-03-18,20,True
12,2025-04-18,20,True
14,2024-06-19,50,True
14,2024-07-19,50,True
14,2024-08-19,50,True
15,2023-06-29,20,True
15,2023-07-29,0,False
15,2023-08-29,20,True
15,2023-09-29,20,True
15,2023-10-29,20,True
15,2023-11-29,20,True
15,2023-12-29,20,True
15,2024-01-29,20,True
15,2024-02-29,20,True
15,2024-03-29,20,True
15,2024-04-29,20,True
15,2024-05-29,20,True
15,2024-06-29,20,True
15,2024-07-29,20,True
15,2024-08-29,0,False
15,2024-09-29,20,True
15,2024-10-29,20,True
15,2024-11-29,20,True
15,2024-12-29,20,True
17,2024-03-15,0,False
17,2024-04-15,20,True
18,2023-05-17,20,True
19,2023-05-16,20,True
19,2023-06-16,20,True
19,2023-07-16,20,True
20,2023-07-04,20,True
20,2023-08-04,20,True
20,2023-09-04,20,True
20,2023-10-04,20,True
20,2023-11-04,20,True
20,2023-12-04,20,True
20,2024-01-04,20,True
21,2023-10-09,20,True
21,2023-11-09,20,True
21,2023-12-09,0,False
21,2024-01-09,20,True
21,2024-02-09,20,True
21,2024-03-09,20,True
21,2024-04-09,20,True
21,2024-05-09,20,True
22,2023-10-20,100,True
22,2023-11-20,100,True
22,2023-12-20,0,False
22,2024-01-20,100,True
22,2024-02-20,100,True
22,2024-03-20,100,True
22,2024-04-20,100,True
22,2024-05-20,100,True
22,2024-06-20,100,True
22,2024-07-20,100,True
22,2024-08-20,100,True
22,2024-09-20,100,True
22,2024-10-20,100,True
22,2024-11-20,100,True
22,2024-12-20,100,True
22,2025-01-20,100,True
22,2025-02-20,100,True
24,2024-08-02,50,True
25,2023-05-13,50,True
25,2023-06-13,50,True
25,2023-07-13,50,True
25,2023-08-13,50,True
25,2023-09-13,50,True
25,2023-10-13,50,True
25,2023-11-13,50,True
25,2023-12-13,50,True
25,2024-01-13,50,True
25,2024-02-13,50,True
25,2024-03-13,50,True
25,2024-04-13,50,True
25,2024-05-13,50,True
25,2024-06-13,0,False
25,2024-07-13,50,True
25,2024-08-13,50,True
25,2024-09-13,50,True
25,2024-10-13,50,True
26,2024-07-01,20,True
26,2024-08-01,20,True
26,2024-09-01,20,True
26,2024-10-01,20,True
26,2024-11-01,20,True
26,2024-12-01,20,True
26,2025-01-01,20,True
27,2023-09-24,20,True
27,2023-10-24,20,True
27,2023-11-24,20,True
27,2023-12-24,20,True
27,2024-01-24,20,True
27,2024-02-24,20,True
27,2024-03-24,20,True
27,2024-04-24,20,True
27,2024-05-24,20,True
27,2024-06-24,20,True
27,2024-07-24,20,True
27,2024-08-24,0,False
27,2024-09-24,20,True
27,2024-10-24,20,True
27,2024-11-24,20,True
27,2024-12-24,20,True
27,2025-01-24,20,True
27,2025-02-24,20,True
27,2025-03-24,20,True
28,2024-10-30,20,True
28,2024-11-30,20,True
28,2024-12-30,20,True
28,2025-01-30,20,True
28,2025-02-28,20,True
28,2025-03-30,20,True
29,2024-09-08,20,True
29,2024-10-08,20,True
29,2024-11-08,20,True
29,2024-12-08,20,True
29,2025-01-08,20,True
29,2025-02-08,20,True
29,2025-03-08,20,True
29,2025-04-08,20,True
30,2024-10-18,50,True
30,2024-11-18,50,True
30,2024-12-18,50,True
30,2025-01-18,50,True
30,2025-02-18,50,True
30,2025-03-18,50,True
30,2025-04-18,50,True
31,2024-06-19,20,True
31,2024-07-19,20,True
31,2024-08-19,20,True
31,2024-09-19,20,True
31,2024-10-19,20,True
31,2024-11-19,20,True
31,2024-12-19,20,True
31,2025-01-19,20,True
31,2025-02-19,20,True
31,2025-03-19,20,True
31,2025-04-19,20,True
32,2024-03-13,100,True
32,2024-04-13,100,True
32,2024-05-13,100,True
32,2024-06-13,100,True
32,2024-07-13,100,True
32,2024-08-13,100,True
32,2024-09-13,100,True
32,2024-10-13,0,False
35,2024-07-23,20,True
35,2024-08-23,20,True
35,2024-09-23,20,True
35,2024-10-23,20,True
35,2024-11-23,20,True
35,2024-12-23,20,True
35,2025-01-23,20,True
35,2025-02-23,20,True
35,2025-03-23,20,True
41,2025-01-07,100,True
41,2025-02-07,100,True
41,2025-03-07,100,True
41,2025-04-07,100,True
43,2024-10-16,50,True
43,2024-11-16,50,True
43,2024-12-16,50,True
43,2025-01-16,50,True
43,2025-02-16,50,True
43,2025-03-16,50,True
43,2025-04-16,50,True
44,2024-03-16,50,True
44,2024-04-16,50,True
44,2024-05-16,50,True
44,2024-06-16,50,True
44,2024-07-16,50,True
44,2024-08-16,50,True
44,2024-09-16,50,True
44,2024-10-16,50,True
44,2024-11-16,50,True
44,2024-12-16,50,True
44,2025-01-16,50,True
45,2024-01-12,100,True
45,2024-02-12,100,True
45,2024-03-12,100,True
45,2024-04-12,100,True
47,2023-08-21,50,True
47,2023-09-21,50,True
47,2023-10-21,50,True
47,2023-11-21,50,True
47,2023-12-21,50,True
47,2024-01-21,50,True
47,2024-02-21,50,True
47,2024-03-21,50,True
47,2024-04-21,50,True
47,2024-05-21,50,True
